gen,gen,min,avg,max,std
0,0,-766.7667306401339,-500.53309787360007,-59.41604352711656,202.58500821243732
1,1,-706.9424427486147,-311.8061059699925,-59.41604352711656,169.45508272233255
2,2,-537.5860848381473,-224.6553621804194,-59.41604352711656,120.64674341465373
3,3,-420.121806404458,-170.1555208672796,-59.41604352711656,86.810811878511
4,4,-443.0470163082805,-125.87696032613161,-23.124297497029005,67.6786800060953
5,5,-371.6935005328931,-106.49367716173793,-23.124297497029005,57.993433988584826
6,6,-454.3279811753852,-97.21847468249928,-19.347113132060475,72.7069140062968
7,7,-454.3279811753852,-75.82677025240491,-19.347113132060475,65.25058427647028
8,8,-454.3279811753852,-64.01248704714409,-19.347113132060475,68.24727686113204
9,9,-136.90000358547516,-44.666359174625065,-19.347113132060475,27.1114036382352
10,10,-241.22396052416045,-39.879038832806984,-19.347113132060475,38.096742112920474
11,11,-211.6422896908522,-31.805713022308545,-19.347113132060475,32.61685362076175
12,12,-328.16568079000126,-28.430810171851043,-19.347113132060475,43.48711039733492
13,13,-23.124297497029005,-20.17809369235355,-19.347113132060475,1.5646846609930074
14,14,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
15,15,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
16,16,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
17,17,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
18,18,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
19,19,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
20,20,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
21,21,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
22,22,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
23,23,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
24,24,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
25,25,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
26,26,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
27,27,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
28,28,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
29,29,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
30,30,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
31,31,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
32,32,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
33,33,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
34,34,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
35,35,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
36,36,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
37,37,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
38,38,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
39,39,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
40,40,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
41,41,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
42,42,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
43,43,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
44,44,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
45,45,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
46,46,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
47,47,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
48,48,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
49,49,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
50,50,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
51,51,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
52,52,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
53,53,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
54,54,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
55,55,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
56,56,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
57,57,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
58,58,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
59,59,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
60,60,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
61,61,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
62,62,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
63,63,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
64,64,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
65,65,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
66,66,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
67,67,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
68,68,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
69,69,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
70,70,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
71,71,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
72,72,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
73,73,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
74,74,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
75,75,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
76,76,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
77,77,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
78,78,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
79,79,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
80,80,-19.347113132060475,-19.347113132060475,-19.347113132060475,0.0
